cnpj_empresa,cpf_socio,qualificacao_socio,percentual_participacao,data_entrada_sociedade
01.226.916/0001-27,618.324.210-15,Sócio-Administrador,64.42,2022-05-30
01.226.916/0001-27,974.034.471-23,Sócio-Gerente,71.49,2012-07-27
80.184.514/0001-83,338.726.247-76,Diretor,10.26,2013-07-19
80.184.514/0001-83,319.314.919-50,Sócio,50.61,2015-11-28
80.184.514/0001-83,499.727.875-08,Sócio-Gerente,77.33,2012-05-21
48.281.489/0001-43,868.501.429-84,Sócio-Administrador,57.92,2022-02-05
48.281.489/0001-43,624.751.079-95,Sócio-Administrador,18.95,2020-12-16
48.281.489/0001-43,867.749.649-15,Sócio-Gerente,29.16,2018-02-21
48.281.489/0001-43,384.251.354-27,Sócio-Administrador,16.85,2015-05-28
88.095.701/0001-00,814.893.252-20,Diretor,85.75,2012-11-17
88.095.701/0001-00,422.842.102-44,Sócio-Gerente,52.21,2013-09-14
88.095.701/0001-00,606.474.687-43,Diretor,87.15,2023-08-10
39.117.182/0001-10,868.501.429-84,Diretor,19.68,2019-10-29
39.117.182/0001-10,284.987.769-70,Sócio-Administrador,37.05,2015-01-15
39.117.182/0001-10,659.401.399-81,Sócio,57.08,2023-03-13
39.117.182/0001-10,867.749.649-15,Sócio-Administrador,66.63,2010-02-28
89.638.346/0001-23,738.721.489-15,Sócio-Gerente,15.67,2010-09-15
89.638.346/0001-23,814.893.252-20,Sócio-Gerente,63.52,2015-05-04
71.331.509/0001-65,024.026.811-36,Diretor,29.44,2022-10-22
71.331.509/0001-65,606.474.687-43,Diretor,25.23,2020-08-10
10.310.518/0001-85,499.727.875-08,Diretor,47.36,2019-07-02
10.310.518/0001-85,775.204.711-28,Sócio-Administrador,14.85,2011-03-20
29.973.763/0001-09,989.413.435-18,Diretor,21.21,2014-04-08
29.973.763/0001-09,656.670.106-07,Sócio-Gerente,47.01,2014-02-12
29.973.763/0001-09,676.320.163-09,Diretor,74.64,2011-09-10
29.973.763/0001-09,025.634.216-40,Sócio-Administrador,14.05,2022-05-06
67.010.651/0001-33,026.542.351-14,Diretor,48.51,2019-02-12
67.010.651/0001-33,465.787.133-10,Sócio-Administrador,23.17,2018-12-30
67.010.651/0001-33,332.003.791-97,Diretor,31.22,2010-01-18
67.010.651/0001-33,493.534.874-71,Sócio-Gerente,43.84,2020-03-16
26.247.317/0001-10,709.521.456-50,Sócio-Administrador,56.33,2014-11-19
26.247.317/0001-10,624.751.079-95,Sócio-Administrador,69.84,2022-02-28
26.247.317/0001-10,025.634.216-40,Sócio-Administrador,56.73,2011-04-14
26.247.317/0001-10,319.314.919-50,Sócio,14.55,2021-04-12
80.132.677/0001-12,822.782.489-79,Sócio-Administrador,85.33,2019-01-21
80.132.677/0001-12,280.598.262-20,Sócio,56.31,2022-10-11
80.132.677/0001-12,814.893.252-20,Sócio-Administrador,43.54,2010-11-22
80.132.677/0001-12,332.003.791-97,Sócio-Gerente,84.78,2023-02-03
06.474.687/0001-83,678.377.701-45,Diretor,20.47,2015-12-16
06.474.687/0001-83,332.003.791-97,Diretor,35.29,2016-09-23
09.805.009/0001-44,026.542.351-14,Sócio-Administrador,15.86,2023-12-07
09.805.009/0001-44,172.400.504-91,Sócio-Gerente,20.6,2014-10-13
81.219.136/0001-99,814.893.252-20,Sócio,45.05,2016-05-23
81.219.136/0001-99,676.320.163-09,Sócio-Gerente,58.93,2022-03-09
81.219.136/0001-99,867.749.649-15,Sócio-Administrador,63.43,2021-11-12
09.169.985/0001-58,518.506.716-05,Sócio-Administrador,69.39,2012-08-03
09.169.985/0001-58,656.670.106-07,Sócio-Gerente,32.54,2013-06-27
09.169.985/0001-58,812.191.361-66,Sócio-Gerente,26.29,2014-09-22
09.169.985/0001-58,623.166.587-92,Diretor,30.09,2015-12-03
53.462.475/0001-66,465.787.133-10,Sócio-Administrador,10.28,2016-03-16
53.462.475/0001-66,712.748.467-81,Sócio-Gerente,22.93,2012-12-07
91.183.842/0001-81,917.839.084-24,Sócio-Administrador,85.6,2012-07-05
91.183.842/0001-81,712.748.467-81,Sócio-Administrador,76.77,2013-05-06
91.183.842/0001-81,026.542.351-14,Sócio,44.38,2023-01-24
54.278.498/0001-88,284.987.769-70,Sócio-Gerente,26.81,2010-11-23
54.278.498/0001-88,229.413.186-07,Sócio-Administrador,38.29,2015-08-07
12.411.824/0001-33,551.256.746-21,Diretor,11.98,2013-12-21
12.411.824/0001-33,624.751.079-95,Diretor,74.18,2017-06-14
12.411.824/0001-33,332.003.791-97,Sócio-Gerente,22.74,2015-07-26
12.411.824/0001-33,384.251.354-27,Diretor,79.77,2012-06-04
34.874.016/0001-45,465.648.236-65,Sócio-Gerente,75.64,2017-11-04
34.874.016/0001-45,868.501.429-84,Sócio,11.89,2015-02-08
34.874.016/0001-45,172.400.504-91,Diretor,36.26,2014-05-02
24.278.680/0001-78,729.806.990-04,Diretor,64.36,2021-06-05
24.278.680/0001-78,240.084.271-04,Sócio-Gerente,85.14,2022-01-10
59.826.204/0001-29,623.166.587-92,Sócio-Gerente,13.06,2023-01-09
59.826.204/0001-29,005.242.786-28,Diretor,37.65,2023-05-20
31.586.923/0001-09,499.727.875-08,Sócio,30.38,2018-08-22
31.586.923/0001-09,267.586.926-04,Sócio-Administrador,51.59,2019-10-13
31.586.923/0001-09,338.726.247-76,Sócio,39.14,2022-01-28
02.563.421/0001-56,443.135.182-58,Sócio-Gerente,50.57,2012-10-17
02.563.421/0001-56,678.377.701-45,Sócio-Gerente,42.19,2019-02-28
75.433.036/0001-68,917.839.084-24,Diretor,64.19,2019-06-07
75.433.036/0001-68,606.474.687-43,Sócio-Gerente,42.49,2013-11-26
75.433.036/0001-68,025.634.216-40,Sócio-Gerente,32.95,2010-01-04
45.868.501/0001-22,495.788.568-06,Sócio,50.89,2019-12-02
45.868.501/0001-22,923.747.407-57,Sócio-Administrador,32.7,2013-10-22
45.868.501/0001-22,270.289.517-40,Sócio-Gerente,17.47,2023-11-21
40.196.556/0001-10,284.987.769-70,Sócio,11.95,2014-06-20
40.196.556/0001-10,465.648.236-65,Diretor,58.9,2015-06-29
93.406.088/0001-27,172.400.504-91,Sócio,67.47,2022-11-29
93.406.088/0001-27,109.324.808-45,Diretor,41.97,2018-08-12
59.514.846/0001-92,104.332.181-00,Sócio,24.07,2019-07-15
59.514.846/0001-92,656.670.106-07,Diretor,14.02,2021-08-14
36.629.946/0001-69,080.132.677-09,Diretor,63.41,2012-12-28
36.629.946/0001-69,172.400.504-91,Sócio-Gerente,86.0,2022-07-15
69.957.773/0001-67,368.516.048-68,Sócio,69.49,2020-01-01
69.957.773/0001-67,712.748.467-81,Diretor,30.74,2020-08-24
69.957.773/0001-67,917.839.084-24,Sócio-Gerente,71.27,2015-07-19
48.951.343/0001-68,709.521.456-50,Sócio-Gerente,28.76,2011-09-27
48.951.343/0001-68,332.003.791-97,Sócio-Gerente,81.44,2017-07-14
48.951.343/0001-68,729.806.990-04,Sócio,22.07,2011-10-23
48.951.343/0001-68,270.289.517-40,Sócio,66.51,2018-08-04
37.917.693/0001-91,109.324.808-45,Diretor,43.26,2017-06-03
37.917.693/0001-91,551.256.746-21,Diretor,41.16,2014-08-22
20.163.287/0001-88,594.078.161-68,Sócio-Gerente,70.28,2017-11-21
20.163.287/0001-88,974.034.471-23,Sócio,49.06,2019-05-26
20.163.287/0001-88,695.944.064-53,Diretor,48.85,2016-02-14
20.163.287/0001-88,104.332.181-00,Sócio-Gerente,63.51,2018-09-21
17.278.895/0001-23,493.534.874-71,Sócio-Administrador,82.55,2023-12-16
17.278.895/0001-23,923.747.407-57,Sócio-Administrador,16.72,2023-04-11
17.278.895/0001-23,606.474.687-43,Sócio,79.35,2019-08-13
86.872.774/0001-28,953.767.242-55,Sócio-Gerente,26.93,2018-07-03
86.872.774/0001-28,623.166.587-92,Sócio-Gerente,70.9,2017-05-01
87.347.143/0001-52,729.806.990-04,Diretor,11.55,2011-11-02
87.347.143/0001-52,109.324.808-45,Sócio-Administrador,89.99,2022-02-05
87.347.143/0001-52,471.434.558-30,Sócio,62.01,2017-11-06
12.236.231/0001-88,648.350.305-91,Sócio,29.08,2010-06-16
12.236.231/0001-88,931.034.131-90,Sócio-Administrador,55.12,2020-08-15
12.236.231/0001-88,676.320.163-09,Diretor,65.96,2014-11-21
12.236.231/0001-88,868.501.429-84,Sócio,58.47,2018-04-10
60.366.909/0001-90,338.726.247-76,Sócio-Administrador,84.31,2022-12-24
60.366.909/0001-90,384.251.354-27,Diretor,41.73,2022-11-30
60.366.909/0001-90,284.987.769-70,Sócio-Administrador,57.37,2014-06-13
60.366.909/0001-90,656.670.106-07,Sócio-Administrador,65.78,2015-06-13
46.688.937/0001-00,080.132.677-09,Diretor,62.92,2021-12-13
46.688.937/0001-00,648.350.305-91,Sócio-Gerente,11.01,2011-07-19
46.688.937/0001-00,240.084.271-04,Diretor,18.44,2019-06-04
